            TSW       T      SW      NE       R      HW      HE       W     HNW     TNW     HSE       H
1952  5    1.61   41.94    6.45    0.00    0.00    4.84    0.00    4.84   25.81    6.45    4.84    3.23
1952  6   10.00   60.00   15.00    1.67    0.00    6.67    0.00    0.00    1.67    0.00    0.00    5.00
1952  7    8.06   11.29    6.45    0.00    0.00   11.29    3.23    4.84    4.84    1.61   22.58   25.81
1952  8    4.84    0.00    0.00   12.90   22.58    1.61   16.13    0.00    3.23    8.06   24.19    6.45
1952  9    0.00    5.00    6.67    8.33   11.67    0.00   13.33   15.00    5.00   13.33    3.33   18.33
1952 10    0.00    9.68    3.23    4.84    0.00    3.23    6.45   24.19    4.84    4.84    4.84   33.87
1952 11   30.00   43.33    3.33    0.00   10.00    0.00    0.00    0.00    0.00   13.33    0.00    0.00
1952 12   17.74   19.35    8.06   12.90    6.45    1.61    1.61    1.61    3.23    8.06   16.13    3.23
1953  1    3.23    4.84    6.45    0.00   37.10   17.74    1.61    0.00    1.61    4.84   16.13    6.45
1953  2    7.14    5.36   17.86   12.50    5.36   16.07    5.36    0.00   10.71    5.36    7.14    7.14
1953  3    4.84    4.84    8.06    1.61    8.06    3.23    9.68    1.61   24.19    1.61    8.06   24.19
1953  4    6.67    8.33   21.67    8.33   10.00    1.67   10.00   10.00    1.67    8.33    0.00   13.33
1953  5    0.00   17.74   14.52    0.00    8.06    3.23    9.68    6.45    6.45    3.23   19.35   11.29
1953  6   16.67   25.00   15.00    3.33    3.33    1.67    3.33    6.67    5.00   10.00    5.00    5.00
1953  7    0.00   25.81    9.68    0.00    3.23    6.45   12.90   14.52    9.68    3.23   14.52    0.00
1953  8    8.06   19.35    3.23    9.68    3.23    0.00   17.74    3.23    3.23    6.45    8.06   17.74
1953  9    0.00   10.00    8.33    0.00    3.33    5.00    3.33   18.33   18.33    6.67    5.00   21.67
1953 10    0.00   17.74    8.06    3.23    0.00    3.23    9.68    4.84    3.23   11.29   11.29   27.42
1953 11    0.00   18.33   20.00    6.67    0.00    0.00    8.33   20.00    5.00   13.33    1.67    6.67
1953 12    0.00   24.19   24.19    6.45    3.23    0.00    9.68    8.06    0.00   16.13    8.06    0.00
1954  1    4.84    1.61   12.90   20.97    0.00   20.97    3.23    0.00    6.45    3.23   11.29   14.52
1954  2    1.79   12.50   12.50    8.93    0.00    1.79   10.71    3.57    3.57    3.57   16.07   25.00
1954  3   12.90   16.13    6.45    4.84    6.45    0.00    8.06    3.23    0.00   29.03   12.90    0.00
1954  4    5.00    8.33    8.33    0.00   20.00    6.67    5.00    8.33    6.67    5.00   16.67   10.00
1954  5    4.84    9.68    4.84    4.84    1.61    1.61   11.29    1.61    8.06   11.29    8.06   32.26
1954  6    3.33   25.00    8.33    3.33    0.00    0.00    0.00   11.67   10.00    3.33    5.00   30.00
1954  7   11.29   16.13   11.29    6.45    6.45    0.00    1.61    6.45   16.13    3.23    4.84   16.13
1954  8    6.45   11.29   14.52    0.00    4.84    9.68   12.90   16.13    4.84    4.84    1.61   12.90
1954  9    0.00    1.67    1.67    0.00    0.00    3.33    8.33    5.00   10.00    0.00   21.67   48.33
1954 10    0.00    9.68    8.06    0.00    1.61    4.84    8.06    9.68    9.68    1.61    4.84   41.94
1954 11    6.67   15.00   11.67    0.00    1.67    0.00   23.33    5.00    1.67    3.33   15.00   16.67
1954 12   14.52    8.06   17.74    8.06    8.06    3.23   19.35    1.61    3.23    3.23    8.06    4.84
1955  1    3.23   14.52   14.52    9.68    6.45    3.23    9.68    4.84    1.61    8.06   14.52    9.68
1955  2    1.79    8.93    8.93    7.14    0.00    1.79   14.29    1.79    3.57    7.14   30.36   14.29
1955  3    3.23    0.00    9.68    8.06   16.13   14.52    6.45    1.61   11.29    3.23   20.97    4.84
1955  4    0.00    6.67    3.33    3.33    1.67   13.33   11.67    0.00    8.33    3.33   23.33   25.00
1955  5    0.00   11.29   19.35    8.06    0.00    3.23   12.90    4.84    4.84   12.90    3.23   19.35
1955  6   20.00   13.33   15.00   13.33    3.33    3.33    0.00    8.33   15.00    3.33    3.33    1.67
1955  7   11.29    0.00    0.00   11.29    8.06    4.84    6.45    4.84    3.23   16.13   19.35   14.52
1955  8   20.97   20.97    4.84    1.61    1.61    0.00   12.90    1.61    4.84   19.35    3.23    8.06
1955  9   10.00    5.00    6.67    3.33    1.67    1.67   16.67    6.67   10.00    5.00    5.00   28.33
1955 10    0.00   25.81   12.90   11.29    0.00    6.45    3.23    4.84    1.61   19.35    8.06    6.45
1955 11    5.00   36.67    8.33    0.00    3.33    0.00   15.00    1.67    3.33   15.00    1.67   10.00
1955 12    6.45    0.00    3.23   30.65    0.00   16.13   12.90    0.00    1.61    4.84   17.74    6.45
1956  1    0.00    1.61   12.90   24.19    9.68    3.23   12.90    1.61    0.00    8.06   14.52   11.29
1956  2   22.41    1.72   13.79   10.34    0.00   20.69    0.00    1.72    1.72    5.17   22.41    0.00
1956  3    9.68    1.61    6.45    4.84    1.61   14.52    6.45    0.00   25.81    1.61    8.06   19.35
1956  4    0.00   23.33    0.00   15.00    0.00    0.00    5.00    6.67    1.67   21.67   11.67   15.00
1956  5   33.87    3.23    1.61   32.26    1.61    1.61    0.00    0.00    0.00    9.68   16.13    0.00
1956  6   15.00   25.00   16.67   11.67    0.00    1.67    1.67    1.67    8.33   16.67    1.67    0.00
1956  7   22.58   20.97   17.74    9.68    3.23    0.00    3.23    1.61    4.84    9.68    3.23    3.23
1956  8   17.74   29.03    6.45    9.68    9.68    0.00    9.68    1.61    0.00   11.29    4.84    0.00
1956  9    8.33    3.33    6.67   10.00    1.67    1.67   25.00    0.00    1.67    5.00   23.33   13.33
1956 10    8.06   22.58    3.23   12.90    8.06    0.00    8.06    0.00    1.61   27.42    4.84    3.23
1956 11   26.67   35.00    3.33    8.33    0.00    0.00    0.00    0.00    1.67   23.33    1.67    0.00
1956 12   14.52   40.32    0.00    1.61    0.00    1.61    3.23    0.00    0.00   30.65    6.45    1.61
1957  1   11.29   12.90    6.45    1.61   12.90   11.29   11.29    1.61    3.23    9.68    4.84   12.90
1957  2   17.86    3.57   10.71   33.93    1.79   14.29    1.79    0.00    0.00    1.79   14.29    0.00
1957  3    0.00   12.90    1.61   35.48    3.23    8.06    0.00    0.00    0.00    9.68   22.58    6.45
1957  4    0.00   11.67   10.00    3.33    0.00    5.00   18.33    8.33    1.67   11.67   23.33    6.67
1957  5    4.84   16.13   41.94    0.00    4.84    0.00    6.45   11.29    3.23   11.29    0.00    0.00
1957  6    8.33    8.33   48.33    0.00    6.67    5.00    3.33    6.67    8.33    0.00    1.67    3.33
1957  7   12.90    4.84   17.74    3.23    4.84    9.68    4.84    3.23    0.00    3.23   33.87    1.61
1957  8    8.06    3.23   11.29    9.68    0.00    8.06    4.84    3.23   12.90   12.90   22.58    3.23
1957  9   13.33    6.67    3.33    3.33    8.33    3.33   13.33    3.33    5.00    6.67   26.67    6.67
1957 10    0.00   45.16   25.81    0.00    1.61    3.23    3.23   11.29    0.00    8.06    0.00    1.61
1957 11    6.67   50.00    6.67    6.67    0.00    0.00    0.00    6.67    3.33   20.00    0.00    0.00
1957 12    3.23   35.48   27.42    0.00    0.00    0.00    3.23    6.45    8.06   16.13    0.00    0.00
1958  1   11.29   17.74   11.29    3.23    6.45    3.23   14.52    8.06    3.23    1.61    4.84   14.52
1958  2    5.36   10.71    5.36   14.29    0.00    0.00    8.93    1.79    0.00    3.57   42.86    7.14
1958  3    6.45   16.13    9.68    8.06    1.61    9.68   11.29    6.45    4.84    3.23   19.35    3.23
1958  4    0.00    1.67   33.33    0.00    3.33    3.33    1.67    8.33   35.00    0.00    0.00   13.33
1958  5    8.06   22.58   11.29    6.45    8.06    4.84    0.00   24.19    4.84    4.84    3.23    1.61
1958  6   11.67    3.33   31.67    5.00    0.00    3.33    5.00    6.67   18.33    1.67    0.00   13.33
1958  7   22.58   27.42    4.84   11.29   12.90    0.00    3.23    0.00    1.61    4.84    6.45    4.84
1958  8    0.00   19.35    8.06    1.61    0.00    3.23   12.90    3.23    8.06   16.13    8.06   19.35
1958  9    0.00    6.67   11.67   11.67    3.33    1.67   18.33    0.00    3.33    6.67   25.00   11.67
