time,0,1,2,3,4
1854-01-01,0.9693673270052582,-1.2628415726911504,-1.6898285018539412,-9.65703198623454,-2.0241354044718016
1854-02-01,0.9458187030789453,-1.1982186659100038,-1.672419533744825,-9.365657733574663,-1.932512865963522
1854-03-01,0.9227304860289701,-1.1340236419365861,-1.6545909252606388,-9.074809279643004,-1.8411577000586299
1854-04-01,0.9001627550083382,-1.0703328117291524,-1.636435118518461,-8.785048464140043,-1.7502156858953162
1854-05-01,0.8781720958188484,-1.0072171765849802,-1.618038452829477,-8.496911780488862,-1.659829937083762
1854-06-01,0.8568107659860407,-0.9447442042539131,-1.599478684810039,-8.210902408189177,-1.5701370016743894
1854-07-01,0.8361261951565786,-0.8829795194822982,-1.5808263960700981,-7.92748479038619,-1.4812664129107194
1854-08-01,0.8161603579237484,-0.8219867825112133,-1.5621463598046001,-7.647081668426131,-1.393345881897342
1854-09-01,0.7969490805716021,-0.761825445230546,-1.5434958330041952,-7.370074113940808,-1.3065092963812528
1854-10-01,0.7785216687226018,-0.7025474754155895,-1.5249244152599895,-7.096803947585741,-1.2209003602210886
1854-11-01,0.7609008854212308,-0.64419404429643,-1.5064792577095953,-6.827576434206398,-1.1366672436159422
1854-12-01,0.744103300994671,-0.586792590060329,-1.4882108874294069,-6.562662240783227,-1.0539512396867339
1855-01-01,0.7281401889831236,-0.530355529675029,-1.4701741088587092,-6.302299566636554,-0.9728777404371021
1855-02-01,0.7130187712031559,-0.47488218415742234,-1.4524253468997113,-6.046697293328033,-0.893555548043867
1855-03-01,0.6987431070273048,-0.42036342172367513,-1.4350203685817804,-5.796039810039662,-0.816081514004462
1855-04-01,0.6853141770383415,-0.3667860850195894,-1.4180127032545575,-5.5504939564254805,-0.7405421551852056
1855-05-01,0.6727295224446727,-0.3141347054382323,-1.4014512052103605,-5.31021525024144,-0.6670096024877396
1855-06-01,0.660983161277234,-0.26239075920507793,-1.385377197695785,-5.07534882501269,-0.5955376188685466
1855-07-01,0.6500663973192105,-0.21153160135934418,-1.3698229324646989,-4.84602571766229,-0.5261628140395039
1855-08-01,0.6399693208904583,-0.16153140642597769,-1.3548122740762754,-4.622359568709954,-0.4589091223150709
1855-09-01,0.6306815475365144,-0.11236490676160953,-1.3403627138674663,-4.404446018622937,-0.3937907477716564
1855-10-01,0.6221908940571971,-0.06401195220612726,-1.3264867818787782,-4.192362942093091,-0.33081209616226964
1855-11-01,0.6144805953264387,-0.016460086384473605,-1.3131924406450406,-3.9861692717271917,-0.2699665689141886
1855-12-01,0.6075271815486366,0.030294851826788163,-1.300483009511928,-3.785902601706432,-0.21123624617363887
1856-01-01,0.6013003270756787,0.0762482117087737,-1.2883564337504585,-3.591578190348617,-0.15459239296512522
1856-02-01,0.5957641344176193,0.12138581414700327,-1.2768042466114828,-3.403191778256575,-0.09999619056486589
1856-03-01,0.5908788545536133,0.16568358187374382,-1.265811099191126,-3.220725556126739,-0.04740119635922602
1856-04-01,0.5866023577101784,0.2091080493004271,-1.2553550349724731,-3.0441542608589636,0.003242293647810986
1856-05-01,0.5828909116458861,0.25161917101944226,-1.2454081792640352,-2.873448961597292,0.05198453856732772
1856-06-01,0.5796993526975434,0.29317524024803676,-1.2359374892451134,-2.7085775999355204,0.09887668791369104
1856-07-01,0.5769810785002828,0.3337370252034214,-1.2269051733736358,-2.5495024813569995,0.14397069745709143
1856-08-01,0.5746886371278271,0.37326942388700635,-1.2182698377100036,-2.3961760270374715,0.18731615198676707
1856-09-01,0.5727754099221988,0.4117421816271191,-1.2099910907011175,-2.2485378032531176,0.22895518579208732
1856-10-01,0.5711975800905488,0.4491315894838957,-1.2020367670475651,-2.106515369790263,0.2689185581998961
1856-11-01,0.5699154859141163,0.4854227657127353,-1.194388069389334,-1.9700269493106386,0.30722532631939514
1856-12-01,0.5688946692968795,0.5206117344036998,-1.1870409373709334,-1.8389824713261271,0.3438865538298637
1857-01-01,0.568107017728141,0.5547078389085173,-1.1800048252326891,-1.713283496915583,0.37891089474977524
1857-02-01,0.5675313075236343,0.5877361434980903,-1.1732984126871342,-1.5928239648335547,0.4123077343972425
1857-03-01,0.567152656317728,0.6197379744590198,-1.166942215189603,-1.4774921017140161,0.44408719179425693
1857-04-01,0.5669616621541468,0.650768870313181,-1.160951732472659,-1.367173756909884,0.4742611712805782
1857-05-01,0.566953872563472,0.6808950876193901,-1.1553341012783982,-1.261756888063666,0.5028467866245433
1857-06-01,0.5671293023173543,0.7101893453635213,-1.150086551073828,-1.161135578141249,0.5298701606044619
1857-07-01,0.5674913973470904,0.7387259701931498,-1.145195847670754,-1.0652114981654979,0.5553689752234314
1857-08-01,0.568045220824846,0.7665772853529864,-1.1406415309898867,-0.9738905549140647,0.5793907954485353
1857-09-01,0.5687953750220229,0.7938128122557201,-1.136402388744164,-0.8870756754246162,0.6019846594518248
1857-10-01,0.5697440916639694,0.820499950529145,-1.1324612489708379,-0.8046608967139336,0.62319096662025
1857-11-01,0.5708897545069287,0.8467043024903391,-1.1288058631558118,-0.7265296440048783,0.6430388916589014
1857-12-01,0.5722267481350575,0.8724890369713075,-1.1254272307376023,-0.6525557615985121,0.6615525821275089
1858-01-01,0.5737467984440443,0.8979130305302535,-1.122316868449627,-0.5826062043710653,0.6787587239473939
1858-02-01,0.5754404170356295,0.9230283828363275,-1.1194646364616514,-0.516545158828772,0.6946889442964066
1858-03-01,0.5772975326306325,0.947878991733229,-1.1168580362447784,-0.4542378297414643,0.7093773412920541
