 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
  Z1  1915    28  47   3  13 -81 113  19 -25   5   9  39 -15   12.9
  Z1  1916   -11  14  -3  22 -26   4 -16  -1  19 -27  27 -38   -3.0
  Z1  1917   -10  14 -34   6 -28 -34  43  -5  16  24 -39 -23   -5.8
  Z1  1918   -33 -20 -35   5  23  17  23  41   9  11  34  15    7.5
  Z1  1919    64 -12  32  29 -14  28  -3  -1 -29   0  24   3   10.1
  Z1  1920   -13 -24   5   4  10 -10   7  56 -26   5  55   4    6.1
  Z1  1921   -39 -11  34  22  15  14  57  41  11 -11  25   5   13.6
  Z1  1922   -73 -30  44  42 -26 -41 -11   9 -26  40  37  -9   -3.7
  Z1  1923   -21  58  28 -31  -8   8 -40 -11  -2 -30  20  42    1.1
  Z1  1924     7  17 -42  12 -13  23  36 -12  17   7  -6 -22    2.0
  Z1  1925   -26  24  31  39   5 -60  -5 -27  55  -4  42  49   10.3
  Z1  1926    11  44  11  45  46   4  -1   3  34   4  35 -21   17.9
  Z1  1927    12  14  44  36   1 -41  -6  -9 -20  22  19 -17    4.6
  Z1  1928   -30 -14 -40  20   3 -51 -10  -9  56  27 -19 -35   -8.5
  Z1  1929     5  29   5 -53 -57  28   6 -15   7 -36   6  34   -3.4
  Z1  1930     2 -27   6 -18   3  11 -19 -34 -34   7  44  -8   -5.6
  Z1  1931    59  22  11  -4   2   2  38  25 -23  29  28 -10   14.9
  Z1  1932    28 -30 -39 -11 -26  21 -25 -21 -63 -18  21 -21  -15.3
  Z1  1933    -1  44  10  51  -1 -27 -21  -3 -26   5 -28  -6   -0.3
  Z1  1934    13 -20   5  17  -5 -20   9   6 -19   4 -21 -40   -5.9
  Z1  1935    25 -36 -23 -15  -2   6 -44  30 -80   6 -23 -24  -15.0
  Z1  1936   -28 -32  -4   4 -17  -5   2  41  24  16  -9 -27   -2.9
  Z1  1937     8  21  10  -1   5 -42   2 -32 -24 -43   5 -25   -9.7
  Z1  1938   -19 -16   0 -40  -6 -13 -60 -11 -22  20 -19  24  -13.5
  Z1  1939    46  20 -20 -22  -6  17  -6   6  -5 -36   4 -12   -1.2
  Z1  1940    23  92  20 -16  -3  15 -20 -26 -16   6 -12   9    6.0
  Z1  1941     3  41 -12  13  24  -4  -5 -35   9 -10  52   1    6.4
  Z1  1942    20  -2  22  42   3 -13  21  -5  34   4  14  12   12.7
  Z1  1943    -2  63  32  20 -36   6   0 -32 -21 -34 -28 -10   -3.5
  Z1  1944   -17  17 -30  36 -31  44   6  -5   4  11  36  18    7.4
  Z1  1945    -5  -6  52  54  -9 -23   3  20  -5  -2  58  14   12.6
  Z1  1946    35  35 -20 -17 -30 -36  28  41  19  17   3  26    8.4
