time,time,event_duration,event_start,event_end
2005-04-27,9613,6,2005-04-27,2005-05-02
2005-05-12,9628,5,2005-05-12,2005-05-16
2005-05-30,9646,14,2005-05-30,2005-06-12
2005-06-23,9670,8,2005-06-23,2005-06-30
2005-07-25,9702,5,2005-07-25,2005-07-29
2005-10-06,9775,5,2005-10-06,2005-10-10
2006-03-03,9923,6,2006-03-03,2006-03-08
2006-04-07,9958,7,2006-04-07,2006-04-13
2006-05-13,9994,7,2006-05-13,2006-05-19
2006-06-14,10026,10,2006-06-14,2006-06-23
2006-07-08,10050,5,2006-07-08,2006-07-12
2006-09-15,10119,7,2006-09-15,2006-09-21
2007-04-12,10328,10,2007-04-12,2007-04-21
2007-06-07,10384,5,2007-06-07,2007-06-11
2007-06-19,10396,12,2007-06-19,2007-06-30
2007-07-02,10409,11,2007-07-02,2007-07-12
2007-11-08,10538,9,2007-11-08,2007-11-16
2008-04-07,10689,5,2008-04-07,2008-04-11
2008-08-05,10809,13,2008-08-05,2008-08-17
2009-05-06,11083,6,2009-05-06,2009-05-11
2009-06-15,11123,8,2009-06-15,2009-06-22
2009-08-27,11196,8,2009-08-27,2009-09-03
2009-10-19,11249,33,2009-10-19,2009-11-20
2009-11-26,11287,5,2009-11-26,2009-11-30
2010-03-12,11393,8,2010-03-12,2010-03-19
2010-04-15,11427,7,2010-04-15,2010-04-21
2010-09-18,11583,6,2010-09-18,2010-09-23
2011-07-08,11876,9,2011-07-08,2011-07-16
2011-09-13,11943,7,2011-09-13,2011-09-19
2012-01-26,12078,7,2012-01-26,2012-02-01
2012-05-17,12190,6,2012-05-17,2012-05-22
2012-06-04,12208,11,2012-06-04,2012-06-14
2012-06-26,12230,5,2012-06-26,2012-06-30
2012-10-03,12329,6,2012-10-03,2012-10-08
2012-10-15,12341,8,2012-10-15,2012-10-22
2012-11-20,12377,16,2012-11-20,2012-12-05
2013-12-21,12773,6,2013-12-21,2013-12-26
2014-01-16,12799,8,2014-01-16,2014-01-23
2014-01-27,12810,9,2014-01-27,2014-02-04
2014-10-05,13061,8,2014-10-05,2014-10-12
2014-10-27,13083,5,2014-10-27,2014-10-31
2014-11-14,13101,6,2014-11-14,2014-11-19
2015-05-18,13286,9,2015-05-18,2015-05-26
2015-09-06,13397,15,2015-09-06,2015-09-20
2015-12-09,13491,6,2015-12-09,2015-12-14
