time,time,event_duration,event_start,event_end
1966-07-06,6761,5,1966-07-06,1966-07-10
1966-07-12,6767,7,1966-07-12,1966-07-18
1967-09-21,7203,5,1967-09-21,1967-09-25
1967-10-29,7241,10,1967-10-29,1967-11-07
1968-01-18,7322,13,1968-01-18,1968-01-30
1968-04-04,7399,13,1968-04-04,1968-04-16
1968-04-20,7415,12,1968-04-20,1968-05-01
1968-05-20,7445,18,1968-05-20,1968-06-06
1968-06-25,7481,7,1968-06-25,1968-07-01
1968-07-31,7517,5,1968-07-31,1968-08-04
1968-08-16,7533,16,1968-08-16,1968-08-31
1968-09-25,7573,9,1968-09-25,1968-10-03
1968-10-07,7585,6,1968-10-07,1968-10-12
1968-11-18,7627,16,1968-11-18,1968-12-03
1968-12-07,7646,6,1968-12-07,1968-12-12
1969-04-21,7781,9,1969-04-21,1969-04-29
1969-09-09,7922,16,1969-09-09,1969-09-24
1969-11-30,8004,12,1969-11-30,1969-12-11
1970-02-11,8077,6,1970-02-11,1970-02-16
1970-04-28,8153,8,1970-04-28,1970-05-05
1970-05-17,8172,8,1970-05-17,1970-05-24
1970-07-06,8222,10,1970-07-06,1970-07-15
1970-08-13,8260,10,1970-08-13,1970-08-22
1971-04-21,8511,5,1971-04-21,1971-04-25
1971-05-04,8524,8,1971-05-04,1971-05-11
1971-06-26,8577,7,1971-06-26,1971-07-02
1971-09-24,8667,5,1971-09-24,1971-09-28
1971-11-14,8718,7,1971-11-14,1971-11-20
1971-11-22,8726,6,1971-11-22,1971-11-27
1972-08-10,8988,6,1972-08-10,1972-08-15
1972-12-11,9111,10,1972-12-11,1972-12-20
1973-03-13,9203,14,1973-03-13,1973-03-26
1973-03-30,9220,10,1973-03-30,1973-04-08
1973-05-13,9264,11,1973-05-13,1973-05-23
1973-06-03,9285,6,1973-06-03,1973-06-08
1973-08-29,9372,5,1973-08-29,1973-09-02
1973-09-05,9379,5,1973-09-05,1973-09-09
1973-12-25,9490,5,1973-12-25,1973-12-29
1974-04-03,9589,6,1974-04-03,1974-04-08
1974-06-28,9675,13,1974-06-28,1974-07-10
1974-07-23,9700,16,1974-07-23,1974-08-07
1974-08-16,9724,8,1974-08-16,1974-08-23
1974-09-04,9743,15,1974-09-04,1974-09-18
1974-12-10,9840,5,1974-12-10,1974-12-14
1975-03-31,9951,5,1975-03-31,1975-04-04
1975-05-15,9996,5,1975-05-15,1975-05-19
1975-10-12,10146,10,1975-10-12,1975-10-21
1976-04-20,10337,6,1976-04-20,1976-04-25
1976-06-09,10387,7,1976-06-09,1976-06-15
1976-07-15,10423,5,1976-07-15,1976-07-19
1976-08-25,10464,6,1976-08-25,1976-08-30
1976-09-10,10480,5,1976-09-10,1976-09-14
1976-10-21,10521,10,1976-10-21,1976-10-30
1976-11-07,10538,11,1976-11-07,1976-11-17
1977-04-06,10688,8,1977-04-06,1977-04-13
1977-04-17,10699,25,1977-04-17,1977-05-11
1977-05-23,10735,23,1977-05-23,1977-06-14
1977-08-19,10823,11,1977-08-19,1977-08-29
1977-09-01,10836,15,1977-09-01,1977-09-15
1977-11-10,10906,8,1977-11-10,1977-11-17
1977-12-08,10934,9,1977-12-08,1977-12-16
1978-04-27,11074,5,1978-04-27,1978-05-01
1978-06-11,11119,5,1978-06-11,1978-06-15
1978-07-07,11145,5,1978-07-07,1978-07-11
1978-07-26,11164,6,1978-07-26,1978-07-31
1978-08-23,11192,5,1978-08-23,1978-08-27
1978-10-05,11235,5,1978-10-05,1978-10-09
1978-12-06,11297,10,1978-12-06,1978-12-15
1978-12-19,11310,6,1978-12-19,1978-12-24
1979-04-12,11424,11,1979-04-12,1979-04-22
1979-07-26,11529,14,1979-07-26,1979-08-08
1979-08-20,11554,8,1979-08-20,1979-08-27
1979-10-05,11600,11,1979-10-05,1979-10-15
1979-11-01,11627,5,1979-11-01,1979-11-05
1979-12-07,11663,6,1979-12-07,1979-12-12
