,iDate,SST
2019-06-09,20190603,0.58
2019-06-16,20190610,0.6
2019-06-23,20190617,0.42
2019-06-30,20190624,0.47
2019-07-07,20190701,0.42
2019-07-14,20190708,0.39
2019-07-21,20190715,0.28
2019-07-28,20190722,0.17
2019-08-04,20190729,-0.05
2019-08-11,20190805,-0.1
2019-08-18,20190812,-0.07
2019-08-25,20190819,-0.04
2019-09-01,20190826,-0.09
2019-09-08,20190902,-0.0
2019-09-15,20190909,-0.28
2019-09-22,20190916,-0.2
2019-09-29,20190923,-0.08
2019-10-06,20190930,0.11
2019-10-13,20191007,0.14
2019-10-20,20191014,0.39
2019-10-27,20191021,0.41
2019-11-03,20191028,0.54
2019-11-10,20191104,0.46
2019-11-17,20191111,0.56
2019-11-24,20191118,0.54
2019-12-01,20191125,0.29
2019-12-08,20191202,0.41
2019-12-15,20191209,0.33
2019-12-22,20191216,0.23
2019-12-29,20191223,0.22
2020-01-05,20191230,0.44
2020-01-12,20200106,0.35
2020-01-19,20200113,0.04
2020-01-26,20200120,0.1
2020-02-02,20200127,0.14
2020-02-09,20200203,0.11
2020-02-16,20200210,0.09
2020-02-23,20200217,0.08
2020-03-01,20200224,0.21
2020-03-08,20200302,0.02
2020-03-15,20200309,0.36
2020-03-22,20200316,0.47
2020-03-29,20200323,0.37
2020-04-05,20200330,0.46
2020-04-12,20200406,0.61
2020-04-19,20200413,0.75
2020-04-26,20200420,0.71
2020-05-03,20200427,0.42
2020-05-10,20200504,0.21
2020-05-17,20200511,0.08
2020-05-24,20200518,-0.21
2020-05-31,20200525,-0.18
2020-06-07,20200601,-0.21
2020-06-14,20200608,-0.42
2020-06-21,20200615,-0.55
2020-06-28,20200622,-0.28
2020-07-05,20200629,-0.17
2020-07-12,20200706,-0.22
2020-07-19,20200713,-0.29
2020-07-26,20200720,-0.21
2020-08-02,20200727,-0.36
2020-08-09,20200803,-0.41
2020-08-16,20200810,-0.21
2020-08-23,20200817,-0.43
2020-08-30,20200824,-0.54
2020-09-06,20200831,-0.88
2020-09-13,20200907,-0.84
2020-09-20,20200914,-0.83
2020-09-27,20200921,-0.85
2020-10-04,20200928,-0.68
2020-10-11,20201005,-0.87
2020-10-18,20201012,-0.81
2020-10-25,20201019,-0.79
2020-11-01,20201026,-0.99
2020-11-08,20201102,-0.81
2020-11-15,20201109,-0.74
2020-11-22,20201116,-0.86
2020-11-29,20201123,-0.98
2020-12-06,20201130,-0.69
2020-12-13,20201207,-0.59
2020-12-20,20201214,-0.58
2020-12-27,20201221,-0.61
2021-01-03,20201228,-0.55
2021-01-10,20210104,-0.57
2021-01-17,20210111,-0.53
2021-01-24,20210118,-0.43
2021-01-31,20210125,-0.32
2021-02-07,20210201,-0.32
2021-02-14,20210208,-0.47
2021-02-21,20210215,-0.26
2021-02-28,20210222,-0.44
2021-03-07,20210301,-0.36
