time,SOI
1970-09-01,2.5595746
1970-10-01,2.628333
1970-11-01,3.0812457
1970-12-01,3.50986
1971-01-01,2.5133786
1971-02-01,3.656055
1971-03-01,3.5710485
1971-04-01,2.2609441
1971-05-01,1.3250601
1971-06-01,0.82528687
1971-07-01,0.708486
1971-08-01,2.2166314
1971-09-01,2.848235
1971-10-01,3.1312082
1971-11-01,2.2703235
1971-12-01,2.0479107
1972-01-01,2.5164804
1972-02-01,3.0575385
1972-03-01,2.0679255
1972-04-01,0.82152027
1972-05-01,-0.117428616
1972-06-01,-0.039364435
1972-07-01,-0.7128434
1972-08-01,0.53226924
1972-09-01,0.42170906
1972-10-01,1.0133573
1972-11-01,1.3119509
1972-12-01,0.81590736
1973-01-01,1.9335841
1973-02-01,1.1002102
1973-03-01,2.1104286
1973-04-01,1.3007251
1973-05-01,1.2469959
1973-06-01,1.6999454
1973-07-01,1.3113601
1973-08-01,2.2116091
1973-09-01,2.766995
1973-10-01,2.6508217
1973-11-01,4.0146556
1973-12-01,3.6410258
1974-01-01,4.521925
1974-02-01,4.105238
1974-03-01,3.8228185
1974-04-01,1.8911177
1974-05-01,1.6730624
1974-06-01,0.96834296
1974-07-01,1.711836
1974-08-01,1.7505727
1974-09-01,2.6027057
1974-10-01,2.6614199
1974-11-01,1.9254969
1974-12-01,2.5364583
1975-01-01,1.8748697
1975-02-01,3.1624856
1975-03-01,3.1874485
1975-04-01,2.0860567
1975-05-01,1.4756863
1975-06-01,1.7030842
1975-07-01,2.4271536
1975-08-01,2.812009
1975-09-01,3.421124
1975-10-01,3.3343081
1975-11-01,3.0325387
1975-12-01,3.9015844
1976-01-01,3.6073112
1976-02-01,3.91654
1976-03-01,3.2118204
1976-04-01,1.3382062
1976-05-01,1.1233265
1976-06-01,0.82340354
1976-07-01,0.028729392
1976-08-01,0.5185323
1976-09-01,0.7228138
1976-10-01,2.412161
1976-11-01,2.7451708
1976-12-01,1.9935539
1977-01-01,2.2977974
1977-02-01,3.4230072
1977-03-01,1.530634
1977-04-01,1.0427145
1977-05-01,0.6953399
1977-06-01,0.15930411
1977-07-01,0.12618038
1977-08-01,0.75032455
1977-09-01,1.1613985
1977-10-01,1.2875789
1977-11-01,1.2757252
1977-12-01,1.3800817
1978-01-01,2.5902243
1978-02-01,0.29925835
1978-03-01,2.0804067
1978-04-01,1.1982889
1978-05-01,2.4427369
1978-06-01,1.693077
1978-07-01,1.7112082
1978-08-01,1.7249452
1978-09-01,2.1097639
1978-10-01,1.7661929
1978-11-01,2.074166
1978-12-01,2.0654142
1979-01-01,2.0439966
1979-02-01,3.118099
1979-03-01,1.8369086
1979-04-01,1.1638727
1979-05-01,1.3270541
1979-06-01,1.2516856
1979-07-01,0.114696
1979-08-01,0.769379
1979-09-01,1.5832922
1979-10-01,1.6048948
1979-11-01,1.2313757
1979-12-01,1.0478842
1980-01-01,2.319252
1980-02-01,2.366408
1980-03-01,1.0780169
1980-04-01,0.21820305
1980-05-01,0.46070424
1980-06-01,0.33027723
1980-07-01,0.3237411
1980-08-01,1.0937479
1980-09-01,1.023623
1980-10-01,1.6265341
1980-11-01,1.500723
1980-12-01,1.7602476
1981-01-01,2.5892272
1981-02-01,2.0420024
1981-03-01,0.47577053
1981-04-01,1.0013559
1981-05-01,1.491528
1981-06-01,1.568226
1981-07-01,1.4745046
1981-08-01,1.4941869
1981-09-01,2.1226146
1981-10-01,1.530191
1981-11-01,2.1835814
1981-12-01,2.4627514
1982-01-01,3.350076
1982-02-01,2.4142659
1982-03-01,2.2379754
1982-04-01,1.0780169
1982-05-01,0.634373
1982-06-01,-0.23722059
1982-07-01,-0.5688641
1982-08-01,-0.4849654
1982-09-01,0.02555365
1982-10-01,0.42466325
1982-11-01,-0.29032195
1982-12-01,0.14220679
1983-01-01,-0.51771986
1983-02-01,-0.75102615
1983-03-01,-0.23064753
1983-04-01,0.41155407
1983-05-01,1.3231399
1983-06-01,0.7274297
1983-07-01,0.45941177
1983-08-01,1.1730306
1983-09-01,2.5073225
1983-10-01,2.3473907
1983-11-01,1.962055
1983-12-01,2.0813668
1984-01-01,2.7013013
1984-02-01,3.0381148
1984-03-01,1.5092531
1984-04-01,1.6167114
1984-05-01,1.2018708
1984-06-01,0.5799792
1984-07-01,1.167787
1984-08-01,1.7287856
1984-09-01,2.054484
1984-10-01,1.7386082
1984-11-01,2.2346888
1984-12-01,2.218293
1985-01-01,2.3257883
1985-02-01,3.7236319
1985-03-01,2.425418
1985-04-01,2.029558
1985-05-01,1.1783112
1985-06-01,0.33227128
1985-07-01,0.5596323
1985-08-01,1.791008
1985-09-01,1.557074
1985-10-01,1.5151246
1985-11-01,1.8408228
1985-12-01,2.180295
1986-01-01,3.21507
1986-02-01,1.2955922
1986-03-01,2.3081002
1986-04-01,1.4338478
1986-05-01,0.76151353
1986-06-01,1.5957367
1986-07-01,0.9948198
1986-08-01,0.6376226
1986-09-01,1.2392043
1986-10-01,2.3297396
1986-11-01,0.9227009
1986-12-01,0.9240303
1987-01-01,1.7956239
