,Monthly SAM index from NCEP1 Z
1968-04-01,1.5179591
1968-05-01,1.7727062
1968-06-01,0.29740658
1968-07-01,-0.3898838
1968-08-01,0.39083502
1968-09-01,1.1135025
1968-10-01,1.246217
1968-11-01,1.1237378
1968-12-01,0.44826174
1969-01-01,2.3170147
1969-02-01,1.3272815
1969-03-01,0.016331056
1969-04-01,0.96368784
1969-05-01,0.23623286
1969-06-01,0.46546152
1969-07-01,-0.72933936
1969-08-01,-0.47419065
1969-09-01,-0.016212516
1969-10-01,0.6703009
1969-11-01,-0.60024726
1969-12-01,-0.0026137694
1970-01-01,-0.6435955
1970-02-01,-0.3269906
1970-03-01,0.81690323
1970-04-01,0.25178906
1970-05-01,0.048409764
1970-06-01,-0.41337055
1970-07-01,0.143625
1970-08-01,-1.0511389
1970-09-01,0.4320755
1970-10-01,1.0497799
1970-11-01,-0.16054042
1970-12-01,1.0817673
1971-01-01,1.0679513
1971-02-01,0.42235595
1971-03-01,-0.33736104
1971-04-01,0.5943485
1971-05-01,1.184787
1971-06-01,-0.3005995
1971-07-01,0.8922206
1971-08-01,0.24067307
1971-09-01,-0.061420195
1971-10-01,0.013331545
1971-11-01,0.39559808
1971-12-01,1.1907696
1972-01-01,1.563412
1972-02-01,0.79002535
1972-03-01,0.7416175
1972-04-01,1.259412
1972-05-01,0.31270844
1972-06-01,1.0549091
1972-07-01,0.7626669
1972-08-01,1.2910708
1972-09-01,0.02448706
1972-10-01,-0.18592812
1972-11-01,-0.679721
1972-12-01,0.3841808
1973-01-01,0.22638024
1973-02-01,-0.3506436
1973-03-01,-1.0156033
1973-04-01,0.06266737
1973-05-01,0.8192209
1973-06-01,-0.15068734
1973-07-01,-0.3048211
1973-08-01,-0.6317855
1973-09-01,0.15729415
1973-10-01,-0.07749862
1973-11-01,0.094754696
1973-12-01,-1.1083982
1974-01-01,0.37300238
1974-02-01,-0.7895777
1974-03-01,-0.6947057
1974-04-01,0.23583703
1974-05-01,0.05452073
1974-06-01,0.75330657
1974-07-01,0.093385026
1974-08-01,2.0313058
1974-09-01,-0.7024413
1974-10-01,0.5326493
1974-11-01,1.3449109
1974-12-01,1.276953
1975-01-01,0.9105849
1975-02-01,0.08474687
1975-03-01,0.13255803
1975-04-01,-0.0065501854
1975-05-01,0.86217886
1975-06-01,0.17404155
1975-07-01,0.9817389
1975-08-01,-0.72331667
1975-09-01,-1.2793343
1975-10-01,-0.34183702
1975-11-01,-0.06624402
1975-12-01,-0.004805662
1976-01-01,0.61663944
1976-02-01,-0.5148994
1976-03-01,0.11672668
1976-04-01,-0.6917285
1976-05-01,-0.75501394
1976-06-01,-0.11918346
1976-07-01,0.032609034
1976-08-01,-0.033973172
1976-09-01,0.07707684
1976-10-01,0.6090884
1976-11-01,1.8841715
1976-12-01,3.0641894
1977-01-01,1.8227112
1977-02-01,-0.088577546
1977-03-01,0.2037266
1977-04-01,0.7702701
1977-05-01,0.71352714
1977-06-01,0.5178656
1977-07-01,0.55882275
1977-08-01,0.7104839
1977-09-01,-0.5266509
1977-10-01,-0.358201
1977-11-01,-0.45794305
1977-12-01,0.10535517
1978-01-01,-1.0328931
1978-02-01,-0.28053212
1978-03-01,-0.2726738
1978-04-01,0.09477165
1978-05-01,0.38282114
1978-06-01,0.16061884
1978-07-01,1.544322
1978-08-01,-1.3286054
1978-09-01,-0.8498393
1978-10-01,0.023710508
1978-11-01,-0.18188561
1978-12-01,-0.31142434
1979-01-01,-0.67570347
1979-02-01,-0.66772383
1979-03-01,-1.0233394
1979-04-01,-0.22615753
1979-05-01,-1.202234
1979-06-01,-1.7875801
1979-07-01,-1.828312
1979-08-01,-0.0812592
1979-09-01,-0.8166587
1979-10-01,-0.4706798
1979-11-01,0.26175758
1979-12-01,0.16581401
1980-01-01,-0.04490658
1980-02-01,0.500605
1980-03-01,0.8134483
1980-04-01,1.1985756
1980-05-01,-0.4236263
1980-06-01,-0.79383326
1980-07-01,0.8036136
1980-08-01,-0.11308627
1980-09-01,0.64462817
1980-10-01,-1.0214851
1980-11-01,0.94332457
1980-12-01,0.24270381
1981-01-01,-0.7738369
1981-02-01,-0.5907566
1981-03-01,0.642881
1981-04-01,1.0635562
1981-05-01,0.014369112
1981-06-01,-0.26031741
1981-07-01,0.6080314
1981-08-01,1.4929464
1981-09-01,0.46210495
1981-10-01,0.13127068
1981-11-01,-0.68965286
1981-12-01,-1.4661418
1982-01-01,-0.06448684
1982-02-01,-0.9312803
1982-03-01,-1.7272471
1982-04-01,-1.4379772
1982-05-01,-0.38831615
1982-06-01,-0.8401415
1982-07-01,0.04087436
1982-08-01,-0.9292278
1982-09-01,-1.5049672
1982-10-01,0.7095887
1982-11-01,0.090098046
1982-12-01,1.2129372
1983-01-01,0.47180435
1983-02-01,-0.03772729
1983-03-01,-0.78826535
1983-04-01,-0.10869576
1983-05-01,-0.120414175
1983-06-01,-0.16762093
1983-07-01,-0.67899895
1983-08-01,-0.7236601
1983-09-01,0.12172261
1983-10-01,-1.1184981
1983-11-01,-1.0756472
1983-12-01,-0.74898756
1984-01-01,0.89562464
1984-02-01,0.42424524
1984-03-01,-0.34979028
1984-04-01,-0.28457457
1984-05-01,0.3190509
1984-06-01,-0.9021295
1984-07-01,-0.34392396
1984-08-01,0.47548673
1984-09-01,0.50885475
1984-10-01,-0.44722846
1984-11-01,-0.89531595
1984-12-01,1.6630265
1985-01-01,0.41662505
1985-02-01,-0.0716701
1985-03-01,0.21077606
1985-04-01,-0.21051942
1985-05-01,0.036961928
1985-06-01,-0.0059880563
1985-07-01,-1.5725329
1985-08-01,-0.94960666
1985-09-01,-1.2176701
1985-10-01,-0.6556432
1985-11-01,-1.5534399
1985-12-01,-0.7782812
1986-01-01,-0.5347828
1986-02-01,1.2809255
1986-03-01,-0.09375363
1986-04-01,-0.39193425
1986-05-01,1.1157379
1986-06-01,0.49597418
1986-07-01,-0.274099
1986-08-01,0.23332387
1986-09-01,-1.300834
1986-10-01,-0.39977172
1986-11-01,-0.48603863
1986-12-01,-1.4267716
1987-01-01,0.5479846
1987-02-01,0.10656742
1987-03-01,0.23227884
1987-04-01,-0.41965052
1987-05-01,-0.35370803
1987-06-01,-0.13914989
1987-07-01,0.84697056
1987-08-01,-1.3274616
1987-09-01,-0.0510936
1987-10-01,-0.6620574
1987-11-01,-1.3025806
1987-12-01,-0.6394589
1988-01-01,-0.19819978
1988-02-01,-0.6280971
1988-03-01,0.104326695
1988-04-01,-0.4032196
1988-05-01,0.1263676
1988-06-01,0.378264
1988-07-01,-1.1608523
1988-08-01,0.012104415
1988-09-01,0.25701436
1988-10-01,1.658527
1988-11-01,-1.1319876
1988-12-01,-1.0838593
1989-01-01,-0.19024041
1989-02-01,-0.5799177
1989-03-01,-0.63384736
1989-04-01,-0.13864575
1989-05-01,-2.1246357
1989-06-01,-1.9272615
1989-07-01,-1.0043669
1989-08-01,0.096929334
1989-09-01,0.31039992
1989-10-01,-0.63796824
1989-11-01,-0.5319439
1989-12-01,-0.24637303
1990-01-01,-0.2928842
1990-02-01,-1.0864905
1990-03-01,-0.7020329
1990-04-01,1.3529465
1990-05-01,0.6750555
1990-06-01,-0.43819642
1990-07-01,0.4521968
1990-08-01,-0.5604377
1990-09-01,-1.699099
1990-10-01,-0.4869989
1990-11-01,-0.26041487
1990-12-01,-0.097386606
1991-01-01,-1.0835674
1991-02-01,0.10270327
1991-03-01,-0.48153597
1991-04-01,0.16409828
1991-05-01,-0.21946692
1991-06-01,0.3770637
1991-07-01,0.41508955
1991-08-01,-0.92896426
1991-09-01,0.4944412
1991-10-01,-0.1018794
1991-11-01,0.056135874
1991-12-01,1.6715474
1992-01-01,-0.55718803
1992-02-01,0.6095248
1992-03-01,0.3005303
1992-04-01,0.28215387
1992-05-01,0.95725274
1992-06-01,1.3312107
1992-07-01,-0.43607953
1992-08-01,-0.32331955
1992-09-01,-0.3609113
1992-10-01,0.29266384
1992-11-01,-0.19251387
1992-12-01,-0.08209331
1993-01-01,1.2254628
1993-02-01,-0.34109402
1993-03-01,0.003165618
1993-04-01,-0.5060142
1993-05-01,-1.2822717
1993-06-01,-1.6166605
1993-07-01,-1.5518136
1993-08-01,-1.1678951
1993-09-01,-1.1274921
1993-10-01,-1.0812156
1993-11-01,-0.5487788
1993-12-01,-1.1902454
1994-01-01,-0.6128481
1994-02-01,-1.1602715
1994-03-01,-0.9853234
1994-04-01,-0.34879264
1994-05-01,-0.440555
1994-06-01,0.88970417
1994-07-01,-0.46696112
1994-08-01,-1.7188349
1994-09-01,0.5348475
1994-10-01,-0.09497582
1994-11-01,0.0031543786
1994-12-01,-1.2835478
1995-01-01,-1.3310701
1995-02-01,-0.7944835
1995-03-01,-0.16574486
1995-04-01,-0.22164188
1995-05-01,-1.5251045
1995-06-01,0.12389905
1995-07-01,1.6043553
1995-08-01,-0.14099205
1995-09-01,-1.6265538
1995-10-01,0.33172038
1995-11-01,-0.61526227
1995-12-01,-0.98622507
1996-01-01,-0.0144446
1996-02-01,0.26980186
1996-03-01,-0.5292062
1996-04-01,-0.6001437
1996-05-01,-1.0973761
1996-06-01,-0.10145843
1996-07-01,0.25165993
1996-08-01,0.8447717
1996-09-01,1.6032395
1996-10-01,-1.0962726
1996-11-01,1.2365718
1996-12-01,-0.051038753
1997-01-01,-0.8297704
1997-02-01,-0.4059481
1997-03-01,-0.9201732
1997-04-01,-0.1793203
1997-05-01,-0.95596606
1997-06-01,0.20748991
1997-07-01,-1.1065361
1997-08-01,-0.6340526
1997-09-01,-0.15244524
1997-10-01,-0.043306086
1997-11-01,1.0948102
1997-12-01,-0.15389438
1998-01-01,-1.0533773
1998-02-01,-1.6472088
1998-03-01,-1.0505954
1998-04-01,-2.2750885
1998-05-01,-0.69236773
1998-06-01,-1.510365
1998-07-01,-1.7496499
1998-08-01,-1.2112322
1998-09-01,-0.80009395
1998-10-01,-0.87006015
1998-11-01,-1.1402475
1998-12-01,-1.3754672
1999-01-01,-1.0016024
1999-02-01,-0.55051714
1999-03-01,-0.2113078
1999-04-01,-1.3882979
1999-05-01,-1.4794497
1999-06-01,0.6814528
1999-07-01,-0.69199544
1999-08-01,-0.5144933
1999-09-01,-0.33213538
1999-10-01,-1.970138
1999-11-01,-1.1623914
1999-12-01,-1.5286798
2000-01-01,-0.68983144
2000-02-01,-1.3738866
2000-03-01,-0.62652683
2000-04-01,-0.73218334
2000-05-01,-1.4126061
2000-06-01,-0.6728175
2000-07-01,0.013302784
2000-08-01,0.13628054
2000-09-01,0.88254786
2000-10-01,-0.6299264
2000-11-01,1.1622477
2000-12-01,0.8809248
2001-01-01,-0.55476135
2001-02-01,0.26640728
2001-03-01,-0.477549
2001-04-01,-1.1925302
2001-05-01,-0.114019014
2001-06-01,-1.1569675
2001-07-01,0.25714904
2001-08-01,-1.0006515
2001-09-01,-1.1409684
2001-10-01,-0.88282347
2001-11-01,-1.3390751
2001-12-01,-0.6123197
2002-01-01,-0.72823024
2002-02-01,-1.2719369
2002-03-01,0.9321427
2002-04-01,-0.32960984
2002-05-01,1.1196959
2002-06-01,-0.73230004
2002-07-01,-0.05710194
2002-08-01,-0.58351135
2002-09-01,-0.07246953
2002-10-01,1.9173847
2002-11-01,-0.31917673
2002-12-01,-1.2479683
2003-01-01,0.04916759
2003-02-01,0.034540452
2003-03-01,-0.1165381
2003-04-01,-0.6730906
2003-05-01,-0.9706278
2003-06-01,0.27412778
2003-07-01,-1.0199412
2003-08-01,-0.5041717
2003-09-01,-0.25137368
2003-10-01,0.05356326
2003-11-01,-0.053669915
2003-12-01,0.15495932
2004-01-01,-1.006905
2004-02-01,0.26455483
2004-03-01,-0.72655845
2004-04-01,-0.850761
2004-05-01,-0.9980509
2004-06-01,-1.9931211
2004-07-01,-1.2451403
2004-08-01,-0.27782962
2004-09-01,-0.9374747
2004-10-01,-0.45998707
2004-11-01,-0.15863062
2004-12-01,0.41417408
2005-01-01,-0.57423705
2005-02-01,-1.0739748
2005-03-01,-0.24883726
2005-04-01,-1.1842742
2005-05-01,-0.288732
2005-06-01,0.28620613
2005-07-01,-0.5924186
2005-08-01,-0.41996145
2005-09-01,-0.82120085
2005-10-01,-0.38231313
2005-11-01,-0.074120454
2005-12-01,1.2039595
2006-01-01,-0.71750873
2006-02-01,-0.21070717
2006-03-01,-1.0242115
2006-04-01,-0.18827032
2006-05-01,-1.3124872
2006-06-01,-1.183384
2006-07-01,-1.0044308
2006-08-01,0.7134662
2006-09-01,-0.7358947
2006-10-01,-1.5985786
2006-11-01,-0.919085
2006-12-01,-0.98916644
2007-01-01,-0.46241948
2007-02-01,-0.62485754
2007-03-01,0.07514311
2007-04-01,0.06301062
2007-05-01,-0.35155922
2007-06-01,0.54837185
2007-07-01,1.0660577
2007-08-01,-0.5239211
2007-09-01,-0.322124
2007-10-01,-0.21900901
2007-11-01,0.101638414
2007-12-01,-1.3972933
2008-01-01,-1.2826294
2008-02-01,-1.0878129
2008-03-01,-1.0940276
2008-04-01,0.64751345
2008-05-01,0.42560747
2008-06-01,-1.7158296
2008-07-01,-0.29387087
2008-08-01,-0.45259112
2008-09-01,-1.2756586
2008-10-01,-1.8928387
2008-11-01,-1.1955904
2008-12-01,-0.88705647
2009-01-01,-1.0349365
2009-02-01,-0.9410895
2009-03-01,-0.76258135
2009-04-01,-0.44624755
2009-05-01,0.46598837
2009-06-01,0.05141519
2009-07-01,-0.017896788
2009-08-01,0.23832119
2009-09-01,-0.51846105
2009-10-01,-0.2299361
2009-11-01,1.2164221
2009-12-01,-0.87165576
2010-01-01,-0.06285414
2010-02-01,0.0045198663
2010-03-01,-0.83152115
2010-04-01,-1.1077411
2010-05-01,-1.1743108
2010-06-01,-2.3274052
2010-07-01,-2.33301
2010-08-01,-1.3967477
2010-09-01,-0.9721965
2010-10-01,-1.1792233
2010-11-01,-1.3614454
2010-12-01,-0.1035474
2011-01-01,-0.14019522
2011-02-01,-1.0483322
2011-03-01,-0.04883491
2011-04-01,-0.19961715
2011-05-01,-1.1668712
2011-06-01,-0.19505957
2011-07-01,0.39640298
2011-08-01,0.3258089
2011-09-01,0.24510781
2011-10-01,-0.0031344516
2011-11-01,0.101271585
2011-12-01,-1.6750362
2012-01-01,-1.2889521
2012-02-01,0.294697
2012-03-01,-0.41413748
2012-04-01,-0.9803082
2012-05-01,-0.84506786
2012-06-01,-0.4659475
2012-07-01,-1.1487993
2012-08-01,-0.7263669
2012-09-01,-0.96332616
2012-10-01,-0.3972307
2012-11-01,0.50807416
2012-12-01,0.17896082
2013-01-01,-0.73263437
2013-02-01,-0.9350319
2013-03-01,-1.6311333
2013-04-01,-0.71194047
2013-05-01,-0.83225244
2013-06-01,-0.1124122
2013-07-01,-1.0479872
2013-08-01,0.7195188
2013-09-01,0.77238315
2013-10-01,-0.16925678
2013-11-01,-0.3797584
2013-12-01,-0.4762241
2014-01-01,-0.11460871
2014-02-01,-0.4506086
2014-03-01,-0.93130046
2014-04-01,-0.9822894
2014-05-01,0.012608829
2014-06-01,-0.9570825
2014-07-01,-0.60927415
2014-08-01,-0.2245082
2014-09-01,0.35463142
2014-10-01,-0.570112
2014-11-01,-0.4751182
2014-12-01,-1.4287629
2015-01-01,-0.58851725
2015-02-01,-1.6733456
2015-03-01,-0.8958835
2015-04-01,-1.2626629
2015-05-01,-1.429604
2015-06-01,-1.4062148
2015-07-01,-1.625721
2015-08-01,-0.8302797
2015-09-01,-0.7907771
2015-10-01,-0.66255295
2015-11-01,-1.0957972
2015-12-01,-0.51985013
2016-01-01,-1.6104034
2016-02-01,-1.1171199
2016-03-01,-2.3651829
2016-04-01,-1.1248074
2016-05-01,-0.94592404
2016-06-01,-2.7414382
2016-07-01,-0.91763836
2016-08-01,-0.08674144
2016-09-01,-2.0217414
2016-10-01,-0.02283009
2016-11-01,0.43517667
2016-12-01,0.1738682
2017-01-01,0.20460764
2017-02-01,-0.59516895
2017-03-01,-0.68322057
2017-04-01,-1.3617399
2017-05-01,-1.6975884
2017-06-01,-1.2408702
2017-07-01,-1.1681561
2017-08-01,-0.95030206
2017-09-01,-1.4933496
2017-10-01,-0.02777455
2017-11-01,-0.74838823
2017-12-01,-0.8252696
2018-01-01,-1.1578966
2018-02-01,-0.85172147
2018-03-01,-0.3463017
2018-04-01,0.1485863
2018-05-01,-0.7692782
2018-06-01,-0.4578473
2018-07-01,-0.88100743
2018-08-01,-0.13839826
2018-09-01,-1.1557242
2018-10-01,-0.740398
2018-11-01,-1.3662754
2018-12-01,-1.0766623
2019-01-01,-1.3766344
2019-02-01,0.06677956
2019-03-01,-1.2687598
2019-04-01,-0.88086635
2019-05-01,-0.9527061
2019-06-01,-2.0081177
2019-07-01,-0.10017925
2019-08-01,-0.30887032
2019-09-01,-1.1637027
2019-10-01,0.35337594
2019-11-01,1.1154969
2019-12-01,0.29338202
2020-01-01,-0.4259811
2020-02-01,-1.0722786
2020-03-01,-1.4967034
2020-04-01,-0.23855053
2020-05-01,-1.3461869
2020-06-01,-1.3016732
2020-07-01,-0.077499226
2020-08-01,0.3985676
2020-09-01,-0.6714525
2020-10-01,-1.2458193
2020-11-01,-1.2754515
2020-12-01,-1.5233663
2021-01-01,-1.0601342
2021-02-01,-0.9574606
2021-03-01,0.15415223
2021-04-01,-1.4146718
2021-05-01,-0.83908993
2021-06-01,-1.2810942
2021-07-01,-0.44909835
2021-08-01,-0.65954727
2021-09-01,-1.6569071
2021-10-01,-0.5096841
2021-11-01,-1.3278818
2021-12-01,-1.9134623
2022-01-01,-1.0079658
2022-02-01,-0.8509464
2022-03-01,-0.47026482
2022-04-01,-1.1846746
2022-05-01,-0.8496286
2022-06-01,0.081403956
2022-07-01,-0.89721566
2022-08-01,-0.7742758
2022-09-01,-1.4650291
2022-10-01,-0.79702187
2022-11-01,-1.7999512
2022-12-01,-1.5670286
2023-01-01,-2.0563102
2023-02-01,-0.61345875
2023-03-01,-0.0063821343
2023-04-01,0.5235431
2023-05-01,-1.7353193
2023-06-01,0.15954927
2023-07-01,-0.49983537
