,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,16.23,17.43,14.53,11.030000000000001,10.129999999999999,6.7299999999999995,4.93,7.43,9.93,13.030000000000001,14.73,15.13
1911,15.43,14.73,15.83,13.63,8.629999999999999,6.83,4.63,7.7299999999999995,9.03,10.530000000000001,12.13,13.030000000000001
1912,14.53,13.33,12.229999999999999,11.930000000000001,7.33,5.63,5.33,6.83,9.23,11.33,12.23,15.13
1913,16.23,14.73,14.83,9.930000000000001,6.529999999999999,4.83,6.63,6.33,10.83,11.73,12.030000000000001,13.73
1914,17.63,16.23,14.53,12.030000000000001,6.93,5.7299999999999995,5.23,6.43,9.129999999999999,12.030000000000001,12.93,13.73
1915,16.13,15.030000000000001,12.629999999999999,10.330000000000002,8.53,5.33,6.53,6.43,10.43,12.83,13.030000000000001,16.25
1916,16.05,17.25,16.349999999999998,12.850000000000001,9.05,8.25,6.25,6.6499999999999995,9.85,11.35,14.75,17.650000000000002
1917,16.95,16.15,15.35,12.850000000000001,9.85,6.75,7.15,6.55,10.25,12.05,13.950000000000001,13.350000000000001
1918,15.85,17.15,14.049999999999999,11.55,9.25,6.1499999999999995,4.25,6.85,8.25,11.450000000000001,12.25,13.55
1919,14.549999999999999,15.95,14.549999999999999,11.350000000000001,8.55,6.6499999999999995,6.75,7.55,8.25,11.25,11.65,13.450000000000001
1920,14.35,15.05,14.649999999999999,11.55,7.55,7.1499999999999995,7.15,5.949999999999999,7.449999999999999,11.55,12.450000000000001,15.05
1921,15.25,15.35,13.95,10.55,9.35,7.05,6.65,7.55,9.75,11.25,13.25,14.05
1922,15.549999999999999,16.55,12.649999999999999,11.450000000000001,8.35,4.949999999999999,4.85,6.75,9.25,13.55,13.05,14.850000000000001
1923,16.25,15.15,13.049999999999999,9.25,8.15,5.55,4.55,6.25,9.95,11.15,15.38,17.68
1924,17.38,17.580000000000002,13.879999999999999,14.780000000000001,8.08,6.4799999999999995,5.48,6.9799999999999995,11.98,13.280000000000001,13.780000000000001,13.48
1925,15.479999999999999,14.58,13.379999999999999,12.180000000000001,6.48,4.68,5.68,5.9799999999999995,9.58,11.280000000000001,11.780000000000001,15.280000000000001
1926,18.09,14.59,13.29,13.39,8.59,6.09,5.89,7.289999999999999,8.89,11.190000000000001,12.690000000000001,13.49
1927,17.29,16.79,14.19,10.89,7.39,4.09,4.99,5.89,9.49,11.290000000000001,11.59,13.89
1928,15.989999999999998,17.19,15.69,13.790000000000001,8.69,6.1899999999999995,7.19,7.09,9.09,11.99,12.790000000000001,13.99
1929,15.69,16.19,13.989999999999998,11.09,6.79,7.39,5.390000000000001,6.1899999999999995,8.39,11.290000000000001,12.790000000000001,14.59
1930,14.489999999999998,15.49,13.79,11.39,8.39,5.09,4.59,5.6899999999999995,7.289999999999999,9.290000000000001,11.290000000000001,14.290000000000001
1931,15.59,14.29,13.79,10.690000000000001,8.49,4.99,4.69,6.39,6.789999999999999,12.09,14.09,15.690000000000001
1932,16.09,15.39,14.19,11.690000000000001,8.19,5.59,3.99,5.289999999999999,8.29,11.190000000000001,13.690000000000001,13.99
1933,16.39,16.79,15.29,11.690000000000001,7.6899999999999995,4.39,5.390000000000001,6.489999999999999,9.49,12.09,12.09,15.39
1934,14.79,15.59,13.59,12.090000000000002,7.99,5.99,4.59,7.09,9.59,10.99,14.690000000000001,17.990000000000002
1935,18.49,17.29,15.489999999999998,12.590000000000002,8.09,5.29,5.09,6.89,6.6899999999999995,11.790000000000001,11.09,17.59
1936,16.29,14.69,12.29,12.49,7.6899999999999995,6.489999999999999,4.99,8.389999999999999,9.19,12.690000000000001,13.290000000000001,13.190000000000001
1937,14.989999999999998,13.39,13.989999999999998,10.690000000000001,8.39,4.89,4.890000000000001,7.39,9.19,10.39,13.39,14.89
1938,16.89,18.19,15.989999999999998,13.690000000000001,9.19,5.99,3.69,6.89,8.79,11.49,13.190000000000001,13.99
1939,14.889999999999999,15.39,14.889999999999999,11.99,9.29,7.29,3.79,5.789999999999999,8.39,10.290000000000001,13.690000000000001,16.39
1940,16.99,14.69,13.09,10.190000000000001,7.39,5.89,5.49,7.39,9.29,11.690000000000001,12.39,16.490000000000002
1941,16.99,17.29,15.09,10.59,9.29,4.99,4.890000000000001,5.59,9.29,10.190000000000001,13.290000000000001,13.49
1942,14.889999999999999,15.09,13.69,11.99,9.49,6.489999999999999,6.29,6.89,9.79,11.99,13.290000000000001,13.290000000000001
1943,15.989999999999998,15.99,13.389999999999999,11.790000000000001,6.89,6.59,4.890000000000001,5.39,7.789999999999999,9.99,13.39,15.590000000000002
1944,16.619999999999997,16.02,13.82,12.620000000000001,7.52,6.12,5.82,5.72,8.12,11.02,12.42,13.22
1945,16.02,15.82,13.32,11.520000000000001,7.82,5.119999999999999,3.12,7.819999999999999,8.82,9.02,14.72,12.72
1946,15.219999999999999,16.32,14.719999999999999,11.22,9.12,5.92,6.32,7.42,8.82,9.92,9.72,13.520000000000001
1947,14.52,15.120000000000001,14.42,10.520000000000001,8.42,6.02,5.32,7.72,9.219999999999999,10.72,13.72,15.42
1948,17.619999999999997,15.82,15.12,11.32,9.12,5.119999999999999,6.32,7.119999999999999,9.219999999999999,11.02,12.82,15.620000000000001
1949,14.819999999999999,18.52,14.42,10.520000000000001,8.32,5.819999999999999,6.92,6.52,8.62,13.92,13.020000000000001,14.92
1950,16.919999999999998,15.82,14.12,10.82,10.32,5.42,5.62,5.319999999999999,9.12,11.32,13.520000000000001,14.520000000000001
