,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
2017-07-01,11.2,7.3,9.0,8.1,7.7,6.2,6.1
2017-08-01,12.7,10.0,10.7,9.6,10.1,8.8,9.0
2017-09-01,13.8,11.0,11.3,11.3,10.3,10.6,10.5
2017-10-01,15.3,12.9,13.3,13.8,12.1,12.3,11.7
2017-11-01,17.0,14.5,14.7,15.5,14.1,14.4,13.6
2017-12-01,20.5,18.2,17.9,19.4,16.5,17.8,16.6
2018-01-01,22.5,21.1,20.4,21.2,19.7,19.3,18.1
2018-02-01,21.1,18.9,18.4,18.8,16.8,17.2,15.4
2018-03-01,19.9,16.6,17.1,17.5,16.3,16.1,15.3
2018-04-01,17.2,13.1,14.1,13.8,11.9,11.9,11.7
2018-05-01,14.8,11.1,12.1,11.3,10.2,9.8,9.1
2018-06-01,11.6,8.5,9.5,8.0,8.3,7.2,7.2
2018-07-01,11.3,9.1,10.2,7.9,8.7,7.7,7.8
2018-08-01,12.1,9.9,10.8,9.8,8.9,8.2,8.5
2018-09-01,13.1,10.5,10.7,10.8,9.7,9.6,9.5
2018-10-01,14.3,12.7,12.6,12.9,11.6,11.4,11.5
2018-11-01,16.4,15.0,14.1,14.6,13.5,13.4,12.7
2018-12-01,19.1,17.5,16.8,18.0,16.6,15.9,15.2
2019-01-01,21.1,20.0,18.9,20.6,16.1,18.6,17.0
2019-02-01,20.8,18.2,17.6,18.6,16.0,17.8,16.1
2019-03-01,20.1,17.6,17.1,18.0,16.8,17.0,16.6
2019-04-01,15.9,13.0,13.2,13.7,12.7,11.8,12.0
2019-05-01,15.0,12.5,13.7,12.3,11.9,10.8,11.8
2019-06-01,11.7,8.5,10.2,8.2,7.9,6.7,8.1
2019-07-01,12.1,9.7,10.8,8.7,8.6,8.7,8.4
2019-08-01,12.1,8.9,9.7,8.6,7.6,7.9,7.8
2019-09-01,13.3,10.6,10.8,10.5,9.5,9.8,9.1
2019-10-01,14.6,11.8,11.8,12.3,11.1,10.9,10.3
2019-11-01,17.4,16.2,14.9,15.3,13.2,15.5,14.6
2019-12-01,19.3,16.8,15.8,16.5,14.0,15.6,14.1
2020-01-01,19.9,18.0,16.5,18.3,15.7,17.1,15.3
2020-02-01,21.4,19.9,18.0,18.8,16.2,17.6,15.7
2020-03-01,19.0,16.4,15.4,15.9,14.3,14.1,13.0
2020-04-01,16.5,14.0,13.9,13.5,12.0,13.1,11.6
2020-05-01,14.1,10.9,12.3,10.9,10.9,10.1,10.0
2020-06-01,13.2,10.4,10.6,10.4,9.7,8.2,7.6
2020-07-01,11.7,8.7,9.6,8.6,8.1,6.9,7.2
2020-08-01,12.4,9.8,10.7,9.9,9.8,8.9,9.3
2020-09-01,13.3,11.3,10.9,11.0,10.2,10.6,10.2
2020-10-01,15.8,13.7,12.8,13.2,12.0,13.4,11.9
2020-11-01,17.6,14.8,13.6,15.1,14.0,14.0,13.5
2020-12-01,18.7,16.2,15.2,16.4,14.6,15.5,14.5
2021-01-01,20.4,18.5,17.3,17.8,15.5,17.4,15.9
2021-02-01,20.5,17.5,17.0,17.7,16.0,17.1,15.7
