,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909,,,-0.08052777777777924,-0.36341666666666955,,-0.3499722222222223,-0.0019444444444445634
1910,-0.22241666666666612,,0.08530555555555426,-0.44675000000000303,,0.3250277777777775,0.731388888888889
1911,-0.5724166666666659,,-0.13969444444444554,-0.7717500000000027,,-0.5999722222222221,-0.1352777777777776
1912,-1.5807499999999994,-1.5252121212121217,-1.0271944444444456,-1.3467500000000028,-0.4024999999999998,-1.5333055555555557,-0.5852777777777777
1913,-1.3224166666666661,-1.1593333333333342,-0.9738611111111122,-0.7300833333333361,-1.2999999999999987,-0.9666388888888889,-0.785277777777778
1914,-1.3057499999999989,-0.7760000000000006,-0.7905277777777787,-0.696750000000003,-1.3916666666666655,-0.24997222222222235,-0.17694444444444504
1915,-0.7724166666666661,-0.5010000000000003,-0.6913611111111124,-1.6967500000000026,-1.258333333333332,-0.24163888888888904,-0.1352777777777778
1916,-0.09741666666666582,0.5823333333333331,0.20113888888888778,-0.21341666666666992,0.4833333333333347,0.21669444444444386,0.8563888888888886
1917,-0.5140833333333327,0.6656666666666665,0.16780555555555424,-0.13008333333333613,0.07500000000000107,-0.15830555555555587,0.5063888888888886
1918,-0.9474166666666655,-0.9593333333333337,-0.6988611111111119,-1.2967500000000032,-0.8833333333333323,-0.9166388888888893,-0.7269444444444444
1919,-1.3807499999999993,-0.31766666666666704,-1.1996944444444453,-1.4134166666666699,-1.8666666666666654,-0.24163888888888918,-0.40194444444444444
1920,-1.2974166666666656,-0.49933333333333385,-1.2496944444444456,-2.085916666666669,-1.658333333333332,-0.40830555555555587,-0.12694444444444444
1921,-1.0640833333333324,-0.16100000000000061,-0.6488611111111123,-0.9334166666666693,-0.9499999999999987,-0.5083055555555561,-0.25194444444444414
1922,-0.5890833333333322,-0.4943333333333338,0.01780555555555435,-0.5167500000000026,-0.32499999999999857,-0.8499722222222229,-0.4686111111111113
1923,-1.1140833333333326,-0.7776666666666667,-0.316361111111112,-0.675083333333336,-0.8833333333333321,-0.7149722222222225,-0.23527777777777736
1924,-0.30574999999999913,0.1889999999999998,0.1844722222222206,-0.05841666666666966,0.26666666666666794,0.6933611111111108,1.1147222222222222
1925,-1.0890833333333327,-0.7526666666666673,-0.6563611111111124,-1.0250833333333362,-1.1749999999999987,-1.3233055555555555,-0.6019444444444445
1926,-1.2057499999999994,-0.5610000000000007,-0.6321944444444455,-1.1334166666666696,-1.0249999999999986,0.08336111111111072,-0.2269444444444444
1927,-1.1890833333333322,-0.636,-0.5163611111111122,-1.4000833333333365,-0.633333333333332,-0.5583055555555559,-0.5019444444444444
1928,0.00258333333333427,-0.21100000000000016,0.06530555555555453,-0.03341666666666963,0.5933333333333345,-0.05830555555555561,0.6980555555555553
1929,-0.18074999999999886,-0.5110000000000006,-0.8755277777777789,-0.6417500000000032,-0.28166666666666557,-0.808305555555556,-0.14361111111111122
1930,-0.7140833333333325,-1.227666666666667,-1.2255277777777793,-1.066750000000003,-0.9733333333333324,-1.5833055555555555,-0.7852777777777779
1931,-1.164083333333332,-0.7943333333333337,-1.2930277777777792,-1.1500833333333362,-1.4983333333333322,-0.7999722222222224,-0.3936111111111111
1932,-0.7390833333333324,-1.3109999999999997,-1.034694444444446,-0.9950833333333358,-0.3566666666666653,-1.2499722222222225,-0.7102777777777782
1933,-0.46408333333333296,-0.3526666666666671,-0.301361111111112,-0.6117500000000026,-0.46499999999999914,-0.34997222222222274,0.07305555555555511
1934,-0.6057499999999991,-0.08600000000000045,0.12447222222222054,-0.49508333333333593,0.010000000000001045,-0.5249722222222224,0.3230555555555556
1935,-0.305749999999999,-0.3360000000000006,0.2403055555555542,-0.17841666666666947,0.4100000000000013,-0.49163888888888874,0.23972222222222198
1936,-0.9474166666666658,-0.6276666666666672,-0.468027777777779,-0.8367500000000024,-0.41499999999999915,-0.9499722222222221,-0.23527777777777814
1937,-1.0974166666666656,-0.6526666666666671,-0.6421944444444456,-0.8534166666666692,-0.7149999999999985,-1.299972222222222,-0.743611111111111
1938,0.31925000000000087,0.45566666666666605,0.4161388888888875,0.31324999999999764,0.5766666666666674,-0.2999722222222225,0.6897222222222217
1939,-1.0307499999999992,-0.14433333333333373,-0.3096944444444457,-0.6784166666666693,-0.6316666666666656,-0.6083055555555559,0.014722222222222414
1940,-0.9890833333333324,-0.9026666666666671,-0.6180277777777788,-0.695083333333336,-0.8483333333333324,-0.6249722222222226,0.023055555555555423
1941,-0.9057499999999997,-0.6860000000000005,-0.7096944444444456,-1.0034166666666695,-0.6649999999999987,-0.6999722222222221,-0.43527777777777815
1942,-0.31408333333333266,-0.5635000000000007,-0.3255277777777789,-0.6617500000000031,-0.7566666666666658,-0.5166388888888891,0.2222222222222219
1943,-0.7557499999999991,-0.5376666666666674,-0.45969444444444596,-0.6784166666666698,-0.3816666666666652,-1.158305555555556,-0.5619444444444445
1944,-1.1974166666666657,-0.8960000000000007,-0.5763611111111121,-0.7534166666666695,-0.3566666666666654,-0.9766388888888892,-0.6452777777777778
1945,-1.4557499999999994,-0.5126666666666669,-0.7755277777777793,-0.9284166666666693,-0.8066666666666656,-1.1516388888888887,-0.8369444444444447
1946,-0.5474166666666659,-0.20433333333333362,-0.28469444444444575,-0.5617500000000027,-0.6149999999999985,-0.7099722222222226,-0.6952777777777781
1947,-0.7307499999999991,-0.4543333333333339,-0.08469444444444568,-0.411750000000003,0.06833333333333456,-0.6516388888888892,0.1705555555555557
